filename,total_value,total_weight,duration_ms,selected_items
ks_10000_0,1.09987e+06,1e+06,0.441,3003 568 7055 3023 8034 9756 1824 7577 2168 2946 5620 7234 48 6535 9308 1942 9117 6113
ks_1000_0,109869,99972,0.0333,642 519 336 59 553 525 801 115 504 485 703 394 627 889 689 210 506 384 929
ks_100_0,90000,90001,0.0032,0
ks_100_1,1.33364e+06,3.19077e+06,0.0037,30 61 16 60 37 3 92
ks_100_2,10892,9999,0.0036,34 30 86 56 46 41 62 69 7 88
ks_19_0,11981,30162,0.0009,13 3 2 5
ks_200_0,100062,99781,0.0044,198 196 168
ks_200_1,1.10344e+06,2.64008e+06,0.0069,174 52 79 90 113 197
ks_300_0,1.68858e+06,4.04007e+06,0.0097,174 52 254 79 40 228 107 86 238
ks_30_0,90000,90001,0.0017,0
ks_400_0,3.96681e+06,9.48593e+06,0.0134,374 376 379 377 381 53 76
ks_40_0,96474,96362,0.0012,38 36 34 32 30 28 26
ks_45_0,23974,58148,0.0023,26 32
ks_4_0,18,9,0.0004,0 1
ks_500_0,54891,49972,0.0164,26 295 30 91 168 205 52 424 475 223 335 31 51
ks_50_0,141956,341012,0.0026,22 19 33 0 6
ks_50_1,5326,4980,0.0027,16 18 20 31 38 1 5 2 14 0 22 25 39
ks_60_0,90000,90001,0.0022,0
